"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Mgat4e",0,1,1,0
"Kdm5b",960,1595,863,1117
"Syt2",0,3,4,4.12
"Ppp1r12b",627,995,519.5,623.29
"Ube2t",379,388,305,294
"Lgr6",10.2,0.2,1,7
"Ptprv",613.25,964,297.5,377
"Ptpn7",6527,8504,4006.4,4737
"Arl8a",618,950,749,789
"Gpr37l1",0,0,0,0
"Elf3",3,2,0,0
"Rnpep",1737,2372,1710,1764.5
"Timm17a",787.5,598.5,467.5,473
"Lmod1",0,0,0,1
"Shisa4",3,1,5,8
"Ipo9",1987,2407.33,2169,2202.7
"Nav1",8.11,5,14.72,4.29
"Csrp1",1794,1678,1563,1534
"Phlda3",26,36,9,23
"Tnni1",7,3,4,0
"Lad1",288,403,335,442
"Tnnt2",4,6,7,6
"Pkp1",2,0,1,1
"Igfn1",1,0,0.5,2
"Tmem9",0,0,0,0
"Ascl5",0,0,0,0
"Cacna1s",102,63,34,21
"Kif21b",8055,14184,11152,16043
"5730559C18Rik",6,11,7,4
"Gpr25",18,25,11,8
"Camsap2",838,1256,741,967
"Ddx59",335.17,358.29,286,321
"Kif14",385,244,446,224
"Gm29485",0,0,0,0
"Zfp281",1443,1755,952,1050
"Nr5a2",4,0,0,0
"Ptprc",83975.93,95050.17,61000.14,76430.17
"Atp6v1g3",56,70,8,14
"Nek7",6952.38,7041.51,4528.32,4878.8
"Lhx9",0,0,0,0
"2310009B15Rik",74.75,70.5,47,58.5
"Dennd1b",1439.23,1630.06,1423.96,1491.22
"Crb1",5.5,5.33,8.14,6
"Zbtb41",675,766,428,487
"Aspm",682,401,683.11,357.14
"F13b",0,0,0,0
"Cfhr1",1,0,0.5,0
"Cfhr3",1.29,0,0.78,1.61
"Gm4788",20.83,28.39,13.47,25.91
"Cfhr2",0,0.87,0.12,0
"Cfh",21,47.5,31.37,27
"Kcnt2",3.45,2.12,2.52,1.56
"Cdc73",2898.22,2927.33,2329.36,2239.38
"B3galt2",0,0,0,0
"Glrx2",764.5,862.33,633,655
"Trove2",101,153,84,93
"Uchl5",1485,1270,1299,1099
"Rgs2",4868,4719,2728,2302
"Rgs13",1,0,9,0.1
"Rgs1",7448,7003.33,4353,3750
"Rgs21",0,0,0,0
"Rgs18",2,0,25,0
"Brinp3",311.83,389.58,298.92,404.34
"Pla2g4a",9,1.95,21,1
"Ptgs2",37,26,29,4
"Pdc",0,0,0,0
"BC003331",686,633.5,508,441
"Tpr",9777,13991.88,8588.5,11160
"Prg4",17,41,31,22
"Hmcn1",3.7,6.13,3.6,4.6
"3110040M04Rik",0.5,0.25,0,0
"Ivns1abp",8798,10439,7274,7525
"Swt1",823,830,592.83,643.83
"Trmt1l",1393,1924.22,1274.33,1428.5
"Rnf2",1962.33,1862.5,1302.33,1278
"Gm36527",0,0,0,0
"Fam129a",3110.5,3446.2,2655.5,3286.25
"Edem3",1101,1411,1248,1257
"1700025G04Rik",258,256,606.5,733
"Tsen15",192.5,244,152,142.75
"Colgalt2",6.95,20.53,14.22,12.94
"Rgl1",208.94,322.71,181.7,157.61
"Apobec4",0,0,0,0
"Arpc5",10475.83,9371.43,8716,9039.67
"Ncf2",20,9,71,25.08
"Smg7",2669.5,3901.5,3264,3509.5
"Nmnat2",220.64,261.28,397.58,563.2
"Lamc2",12,13,17,8
"Lamc1",172.33,193.17,164.5,116.17
"Shcbp1l",39,44,48.25,26
"Dhx9",8109.66,9329.93,6940.57,7699.39
"Npl",0,4.7,3.9,1.34
"LOC108167735",0,0,0,0
"Rgs8",103,161,28,36
"Rgs16",3270,3506,3961,3520
"Rnasel",938,1421,925,1232.25
"Rgsl1",1.4,1,0.25,0
"Teddm2",0,0,0,0
"Teddm1b",0,0,0.31,0.11
"Teddm1a",0,0,0,0
"Glul",1033.08,1252.08,1703.08,1614.92
"Zfp648",0,0,0,0
"Cacna1e",37,31.24,50,24
"Ier5",4520,5180,4223,4207
"Mr1",650,793,382,444
"Stx6",3907.45,4987.2,1907.17,2048.32
"BC034090",14,23,2,7
"Xpr1",1017.5,1334,1029,1113
"Acbd6",763.22,892.83,697.08,642.5
"Lhx4",0,0,0,0
"Qsox1",1737,2149,1303,1479
"Cep350",2826,4156,2672.5,4077.5
"Tor1aip1",2453.12,3322.22,2195,2575.5
"Tor1aip2",2174.5,3122.64,2159,2340.5
"Fam163a",0,1,0.14,2
"Tdrd5",0.7,5.25,5,4.6
"Nphs2",18,16,9,18
"Axdnd1",19009.88,9548.95,9963.02,9299.98
"Soat1",913,1184,769,799
"Abl2",665,915,691.5,805
"Tor3a",775,818,446,518
"Fam20b",1456.9,2069.55,1248.03,1663.2
"Ralgps2",1191.39,1720.46,1056.42,1106.1
"Angptl1",0,0,0,0
"4930439D14Rik",2,1,1,1
"Tex35",2,2,2,1
"Gm30694",0,0,0,0
"Rasal2",9.5,8.3,10.61,5.47
"BC026585",21.45,24.45,12.17,12
"Sec16b",32,84,2,2
"Brinp2",0,0.14,0,0.81
"Astn1",0.5,0,1,0.33
"Pappa2",6.19,5.91,3.56,0.45
"Rfwd2",353.91,336.54,326.58,330.67
"Tnr",8.5,2,4.46,2
"Gm31493",0,2,0,0
"4930523C07Rik",1438,1947,1378,1344
"Tnn",15.67,21,24,16
"Mrps14",1902,1093.5,820.5,761.5
"Cacybp",3130.75,1914.83,1731.17,1547.17
"Rabgap1l",8047,8360.47,6062.63,6928.92
"Gpr52",0,0,0,0
"Rc3h1",2012.25,2352,1909,2292.2
"Serpinc1",8,6,10,12
"Zbtb37",345,551,247,339.5
"Dars2",697,724,672,635
"Cenpl",878.33,641,667,543
"Klhl20",666,940.2,629,756
"Ankrd45",0,0,0,1
"4930469G21Rik",0,0,0,0
"Prdx6",2608,2946,3428.5,3827.6
"Tnfsf4",319,268,1233,1693
"Tnfsf18",0,0,3,5
"Fasl",199,305,152,100
"Suco",2361,2713,1873,1824
"4930558K02Rik",4,4,5,10
"Pigc",0,0,0,0
"Dnm3",71.5,79.52,54.25,72.33
"Mettl13",235,276,216,212
"Vamp4",1102,1005,712,768
"Myoc",1,0,0,0
"7420461P10Rik",2,0,4,1
"Prrc2c",7788.75,12795.39,8213.25,11277.83
"Fmo4",0,0,0,0
"Fmo1",287.25,464.3,156.19,309.38
"Fmo2",0,0,0,0
"Fmo6",0,0,0,0
"Fmo3",2.62,2.49,1.91,2.58
"Mroh9",0,0.25,0,0
"Prrx1",0,0,0,0
"Gorab",221,334,170,170
"Mettl11b",1,0,0.1,0
"Kifap3",179.46,207,130,123
"Scyl3",467,741,448,634
"BC055324",315,296,247,227
"Mettl18",147,124,74,82
"Sele",4,4,14,8
"Sell",3996,3853,11884.2,14147
"Selp",7,18,30,22
"F5",2,2,13,4
"Slc19a2",246,292,306,323
"Ccdc181",321,356,267,276
"Blzf1",462,509,340,369
"Nme7",498,385,262,290.14
"Atp1b1",536,566,668,638
"Dpt",23,36,3,5
"Xcl1",215,185,3704,2868.75
"Tbx19",191,158,289,267.5
"Sft2d2",3055,4136,1953,2678
"Tiprl",1985,1981.5,2077.67,1901.75
"Gpr161",17,9,0,6
"Dcaf6",753.2,1035.14,731.33,1006
"Mpc2",789.5,725.5,621.83,698
"Adcy10",2,14,0.25,15
"Mpzl1",40,38,17,8
"Rcsd1",4450.2,5618,4045.11,3873
"Creg1",493,461,300,289
"Cd247",11312.5,10564.5,5193,5802
"Pou2f1",605,928,437,455
"Dusp27",1,0,0,0
"Gpa33",0,0,0,4
"Mael",0.25,0,0,0.33
"Ildr2",0,0,0,0
"Tada1",1368,1295,988,1000
"Pogk",474,654,670,1109
"Gm4846",0,0,0,0
"Gm4847",0,0,0,0
"Fmo9",0,0,0,0
"Fam78b",9,8.25,56,62
"Uck2",2323,2541.25,2247,2217
"Tmco1",1456.5,1173.33,859,802.22
"Aldh9a1",1364,1570,1182,1162
"Mgst3",25,15,49,16
"Lrrc52",0,0,1,0
"Rxrg",0,0,3.67,0
"Lmx1a",2.76,4.65,3.21,3.31
"Pbx1",7.5,4.44,10,0
"Nuf2",1002,388,652.5,300
"Rgs5",0,0,0,0
"Rgs4",0,0,3,0
"Ccdc190",0,0,0,0
"Hsd17b7",194,234,159,164
"Ddr2",7.42,6.25,1.83,1.3
"Uap1",702,747,791,792.12
"Uhmk1",388,685,290,679
"Sh2d1b2",0.5,0,0,0
"Sh2d1b1",1.5,0,10,2
"Gm7694",2,0,10,0
"1700015E13Rik",0,0,1,0
"Nos1ap",82.83,50,56.83,46.33
"Olfml2b",0,2,8,4
"Atf6",1208.25,1616,1137.25,1284.4
"Gm29733",0,0,0,0
"Dusp12",447,446.5,311,283
"Fcrlb",0,0,0,0
"Fcrla",754.75,361.5,374.17,285.83
"Gm39701",17.89,24.33,31.42,23.93
"Fcgr2b",12.5,2,72.25,6
"Fcgr4",4,0,16.62,3
"Fcgr3",27.33,22.22,55.35,34.83
"Cfap126",33,33,14,45
"Sdhc",1371,1511,1158,1220.33
"Mpz",1,2,3,2
"Pcp4l1",0,0,2,0
"Nr1i3",1,6,1,0
"Tomm40l",595,561,449,457
"Apoa2",0,2,1,0
"Fcer1g",18,3,79,1
"Ndufs2",3399,3540,3284,3251
"Adamts4",1,0,0,3
"B4galt3",454,660,565,723
"Ppox",757,1293,846,832
"Usp21",666,1026,689,759
"Ufc1",1560,1562,1286.5,1332
"Dedd",886,1026,806,885
"Nit1",720,923,529,612
"Pfdn2",885,1101,814,821
"Klhdc9",50,29,36,30
"Nectin4",1,3,5,7
"Arhgap30",9826.5,14365.5,9670.5,11651.5
"Usf1",1047,1443,1157,1046.5
"Tstd1",23,30,17,16
"F11r",8,5.11,11.12,5
"Alyref2",102.33,109,42,72
"Itln1",1.68,0,2,0.31
"Cd244",11,16.17,43,12.12
"Ly9",6408,7146,6242,7671
"Slamf7",761,902,1931,2613
"Cd48",3646.5,2872,3541,3698
"Slamf1",647,572,379,276
"Cd84",7878.31,8670.86,4882.32,6556.81
"Slamf6",29384.33,33203.92,21794.5,28337.53
"Vangl2",32,52.25,29,19
"Nhlh1",0,1,0,0
"Ncstn",1695,2606,1905,2171
"Copa",6629.33,7727,5605.93,6673
"Pex19",1163,1398,971,1129
"Dcaf8",3478,4745,2981,3584.5
"Pea15a",1130,1411,1194,1682
"Casq1",5,3,9,1
"Atp1a4",0,0,1,0
"Atp1a2",11,6,1,1
"Igsf8",200,202,221,185
"Kcnj9",0,0,1,4
"Kcnj10",6,1,20,4
"Pigm",802.67,1138.5,796,904
"Slamf9",6,4,1,3
"Igsf9",24,32,9,5
"Tagln2",4767,5217,5783,5396
"Cfap45",3,5,1,0
"Vsig8",0,2,0,0
"Slamf8",8,2,2,1
"Fcrl6",0,0,1,1.5
"Dusp23",37,60,25,17
"Crp",2,0,0,0
"Apcs",2,0,0,0
"Olfr16",0,0,0,0
"Olfr1408",0,0,0,0
"Olfr1406",0,0,0,0
"Olfr218",0,0,0,0
"Olfr1404",0,0,0,0
"Fcer1a",1,0,1,0
"Olfr418",0,0,0,0
"Mptx2",0,0,0,0
"Ackr1",0,0,4,0
"Cadm3",0,0,1,4
"Aim2",3092.49,4489.23,4240.34,4974.56
"LOC102639543",203.36,248.28,494.07,615.28
"BC094916",378.5,463.25,854.25,1201.75
"Pydc4",84.11,117.94,114.06,191.56
"Pyhin1",1554.5,1891.75,1556.25,2031.75
"Pydc3",638.53,887.53,915.11,1165.87
"AI607873",4.29,1.17,7.22,2.23
"Ifi204",55.87,70.32,94.84,83.1
"Mndal",1316.76,1963.51,2032.3,2287.08
"Mnda",30.94,37.43,49.56,41.34
"Ifi203",959.75,1127.8,1051.13,1208.16
"Ifi202b",20.93,14.38,3.87,4.22
"Ifi205",2.75,2.15,7.26,4.03
"Olfr433",0,0,0,0
"Olfr432",0,0,0,0
"Olfr430",0,0,0,0
"Olfr429",0,0,0,0
"Olfr427",0,0,0,0
"Olfr231",0,0,0,0
"Olfr424",0,0,0,0
"Olfr420",0,0,0,0
"Spta1",12,10,115,11.12
"Olfr419",0,0,0,0
"Mptx1",0,0,0,0
"Olfr417",0,0,0,0
"Olfr248",0,0,0,0
"Olfr414",0,0,0,0
"Olfr220",0,0,0,0
"Fmn2",1,1,2,1
"Grem2",0.67,1,0,0
"Rgs7",1.73,0.31,1.17,0.17
"Fh1",2283,2008.1,1548,1454
"Kmo",22,1,21,8
"Opn3",31,44,32,31
"Chml",0,0,0,0
"Wdr64",0,0,0,5.11
"Exo1",296.35,191.56,329.07,173.72
"Becn2",0,0,0,0
"Pld5",240,257.57,234.53,183.72
"Cep170",347,427,257,351
"Sdccag8",672.75,771.67,685.35,644.83
"Akt3",695.67,835,457.2,458.33
"Zbtb18",386.5,449.5,217.5,205
"1700016C15Rik",13,9,22.33,17
"Adss",3872.75,3474.83,3488.51,3454.6
"Gm7068",1.82,2.5,1.19,0.56
"Gm16432",615,859.39,349.72,573.91
"Desi2",1170.5,1294.59,694.91,838.34
"Cox20",97.17,106.5,90.5,78.42
"Hnrnpu",7813.25,8093,6398.17,5979.5
"Efcab2",122.5,72.52,92,65.79
"Kif26b",3.47,2,6.2,1.25
"Smyd3",520.02,634.43,539.89,482.33
"Tfb2m",570.5,775.08,525,586.5
"Cnst",1230,1895,896,878
"Sccpdh",397.22,421.11,49.22,64
"Gm1305",0.5,4.45,0,3
"Ahctf1",3127,3733,2761.25,2972
"Cdc42bpa",25,27.12,28.1,5.2
"Adck3",908,1081,453,559
"Psen2",1325,1805,855,1044
"Itpkb",4529,7122,4684,5251
"Stum",6,4,13,14
"Parp1",3375.2,4083.5,3267.5,3129.83
"Lin9",764,845,599.75,607.2
"Mixl1",0,0,0,0
"Acbd3",1409.5,1692.2,1181,1264
"H3f3a",3318.31,3049.56,2606.43,2238.51
"Sde2",911.5,1462.75,907.5,1070.48
"Lefty2",1,0,0,0
"Pycr2",909,1106,852,866
"Lefty1",8,6,1,8
"Tmem63a",1139,1751,1206,1330
"Ephx1",3748,4832.25,1719.12,2086
"9130409I23Rik",5.5,3.67,1.5,0.12
"Nvl",1886.1,2527.33,1499,1829.5
"Cnih4",639,688.5,412,397
"Wdr26",10640.5,14225.83,7691,9813.5
"Gm38664",37,37,20,18
"Cnih3",66.85,56.33,59.37,46.28
"Ccdc121",0,0,0,0
"Dnah14",50.75,75.45,109.87,107.5
"Lbr",4507,4739,4164,4225
"Enah",11,5.29,6,3.5
"Srp9",2595.17,1982.33,1474.33,1530.5
"Vmn1r1",1,0,0,0
"LOC105244034",501.97,659.96,713.6,799.62
"Degs1",1585,1605.22,1327,1329
"Fbxo28",1584,2046,1344.33,1529
"Trp53bp2",727.33,1088,833.33,850
"Capn2",3182.11,4103.5,2899,3515
"Capn8",1,0.5,0,0
"Ccdc185",0,0,0,0
"Susd4",494.5,673,211,263.17
"Tlr5",0,0,3,0
"Disp1",489.37,714.46,540.98,547.95
"Gm34287",0,0,0,2
"Brox",1339,1784.5,1165.5,1338
"Aida",1081.17,1065.67,1148.75,1083.5
"Mia3",3109,4545.5,2911,3385
"Taf1a",350,491,318,336
"Hhipl2",4.29,9.2,18.12,11.75
"1700056E22Rik",9,41,29,19
"Dusp10",1816,2266,1087,939
"Hlx",2,6,12,0
"Marc1",0,0,2,0
"Marc2",1814,1639,1199,1356
"C130074G19Rik",0,0.33,0,1
"Mark1",1,4,0.5,0
"Rab3gap2",1546.5,2035,1187.5,1295
"Iars2",1806.37,2203.83,1612.73,1857.44
"Bpnt1",267,301,276,301
"Eprs",4166.83,3979,3127.5,3312
"Slc30a10",0,0,6,0
"Lyplal1",166,161,102,112.67
"Tgfb2",29,42,24,21
"Rrp15",624,575,446.5,478
"D1Pas1",1,5,0,0
"Spata17",0.8,4.92,4.77,0.68
"Gpatch2",870,1091.5,813,1011.5
"Esrrg",0,0.6,3,2
"LOC108167752",0,0,0,0
"Ush2a",2.37,7.82,1.3,0.89
"Kctd3",526.5,738,604,621.5
"Kcnk2",4.31,5.52,1.9,0.51
"Gm3837",0,0,0,0
"Cenpf",1068.5,616,998,540
"Ptpn14",28.5,36,75,68
"Smyd2",596,681,695,596
"Prox1",0,13,4,21
"Rps6kc1",676,907,406,458
"Angel2",2486,2922,1848.5,2239
"Vash2",21,12,38,41
"Mfsd7b",765,752.3,475.1,586.2
"Spata45",2,4,4,0
"Tatdn3",231,288,163,187
"Nsl1",276,205,277,115
"Batf3",3,2,10,9
"Fam71a",0,0,0,0
"Atf3",32,46,115,30
"Nenf",237,135,141,114
"Tmem206",290,344,249,226
"Ppp2r5a",2879,3573.48,3354.53,3703.22
"Dtl",1090,900,954,732
"Ints7",1526,1988,1647,1721.72
"Lpgat1",959.5,1285,1018.5,1194.5
"Nek2",243.5,127,295.67,117.17
"Slc30a1",219.5,251.5,166.75,172.75
"Gm39743",282.11,378.93,402.75,403.61
"Rd3",16,25.92,13.83,12
"Traf5",1252.58,1774.99,1192.49,1345.81
"Rcor3",332.5,467.75,228.75,269.5
"Kcnh1",5.96,5.44,13.22,11.57
"Hhat",124.31,152.3,62.16,73.95
"Sertad4",0,0,1,0
"Syt14",64.95,60.81,45.29,36.62
"Diexf",583,862.67,590,682
"Irf6",113,131,68,94
"A130010J15Rik",67,66,27,32
"Traf3ip3",7111,9550,5327,6467.33
"Hsd11b1",1694.2,1604,898,1183
"G0s2",3,3,18,15
"Lamb3",1,6,0,1
"Camk1g",17,9,2,0
"Plxna2",1.39,2.62,1.38,5.92
"Cd34",7,0,26,1
"Cd46",351,422.25,356.33,316.5
"Cr1l",1497,1543.5,1070.5,1246.5
"Cr2",11,10,78,7
"LOC100041708",41.31,65.75,50.89,49.9
"LOC108167387",7.6,10.65,8.45,10.54
"LOC101055663",134.96,167.72,137.11,226.44
"LOC546061",49.06,73.69,67.5,90.17
"LOC101055672",46.66,51.19,52.3,49.01
"LOC677525",11.96,28.65,19.13,25.17
"LOC105247075",32.5,37.58,33.82,29.32
"LOC100041057",341.87,503.76,424.09,541.46
"LOC100503923",0,0,0,0
"LOC102636558",23.67,27.51,23.29,38.58
"LOC671917",38.63,43.97,43.78,66.24
"LOC100041903",34.38,59.3,41.01,48.7
"LOC102638047",264.27,365.2,298.53,389.83
"LOC102633783",12.73,20.72,14.71,23.4
"LOC102634581",7.37,7.04,10.32,7.57
"Csprs",52.63,76.83,55.18,77.4
"LOC100039029",39.15,42.77,41.75,65.34
"Fam171a1",5,3,9,9
"Nmt2",757.5,853,867.5,889
"Rpp38",84,88,46,34
"Acbd7",7,5,0,4
"Olah",0,0,0,0
"Meig1",2,6,0,0
"Dclre1c",742,1061,551,710
"Suv39h2",8,9,1,2
"Hspa14",2586.09,2863,2469.17,2407.67
"Cdnf",27,28,21,31.5
"LOC108168726",1.25,2,0.37,0.25
"Fam107b",11890.08,12671.5,12314.5,12220.5
"Frmd4a",261.1,291.63,379.36,426.6
"Prpf18",3058.5,3730,2404,3077
"Bend7",1,3,10,5
"Sephs1",1170.11,1087,1112,898
"Phyh",2540,3167,1945,2289
"Ucma",0,0,0,0
"Mcm10",614,451.33,607,400.67
"Optn",127.4,210.3,122.8,85.3
"Ccdc3",5.83,6,2.8,1
"Camk1d",5535.46,6833.31,10957.75,6004.55
"Cdc123",2525,2418,1874.5,1936
"Nudt5",2019,1491.2,1210.33,1111.83
"Sec61a2",310,540,268,364
"Dhtkd1",5,2,5,3
"Upf2",2322,2838,1924.64,2022.2
"Proser2",0,0,0,1
"Echdc3",9.33,23.14,2.25,2
"Usp6nl",1242,1436,532,429
"Celf2",7911.49,9007.48,6670.28,7055.48
"Gata3",1408,2123,934,771
"Taf3",619,725,693,617
"Atp5c1",8053.5,6250.25,4837.42,4845
"Kin",916,1195,789,773
"Itih2",0.25,0,0,1
"Itih5",94.21,146.14,86.21,76.25
"Sfmbt2",259,344.64,126,144.29
"Prkcq",9310,12528.54,10220.5,11433
"Pfkfb3",1750.2,2541.33,1392.33,1736
"Rbm17",1654.5,1965,1717,1706
"Il2ra",114,120,86,60
"Il15ra",657,1081.33,861,1133
"Fbxo18",1666,2248.5,1435,1762.62
"LOC108168740",0,0,0,0
"Ankrd16",1223,1945.75,1372,1583.5
"Gm34768",0,0,0,0
"Gm32204",0,0,0,0
"Itga8",1,0.29,5,2.5
"Fam188a",1303,1625,1203,1321
"Pter",92,119,39.17,25
"C1ql3",8,8,18,13
"Rsu1",2643.11,2135.02,1102.11,1220.35
"Cubn",14,12,5.33,9
"Trdmt1",365,296,207,205
"Vim",9643,8104,11743,10067.5
"St8sia6",208,213,36.38,44
"Hacd1",8.6,2.75,26.17,13
"Stam",659.11,752.04,584.38,577.54
"Tmem236",125.07,116.07,101.12,128.58
"Mrc1",5.14,2.11,26,4
"Slc39a12",0.67,6.67,0.83,1.67
"Cacnb2",1651.88,972.81,964.72,859.4
"Nsun6",366.33,477,276,378.33
"Arl5b",585,674,540,633
"Malrd1",90.71,93.56,149.75,96.55
"Gm37416",0,0,0,0
"Plxdc2",104.77,119.09,271.53,216.08
"Nebl",479.37,427.39,162.49,123.94
"H2afb1",0,0,0,0
"Skida1",18,20,29,21
"Mllt10",1338.98,1861.27,1502.33,1472.74
"Dnajc1",1821.76,1834.96,1295.07,1467.83
"Commd3",2531,2130,1366,1552
"Bmi1",1885.67,1640.5,1067,1075.5
"LOC108168727",0,0,0,0
"Spag6",0,4,2,6
"Pip4k2a",5435.2,6510,3490.08,3650.31
"Armc3",239.19,214,179.5,178.67
"Msrb2",298.5,342.5,158,149
"Ptf1a",0,0,0,0
"4921504E06Rik",1,4.33,0.1,1.17
"Otud1",350,504,272,356
"Etl4",944.79,1051.74,760.72,748.84
"Arhgap21",10118.06,12048.58,20002.41,10837.79
"Enkur",5,2.5,6,2
"Thnsl1",120,130,57,70
"Gpr158",21.24,18.64,10.31,15.89
"Myo3a",31396.03,17116.25,16130.58,14234.71
"Gad2",1,0,0,0
"Apbb1ip",3667,5673.02,5219.83,5972.43
"Pdss1",331.22,429.67,367.94,328.29
"Abi1",6033.11,6368.27,4343.07,4773.94
"Acbd5",905.5,1096.7,727.5,707
"Mastl",273,165,307,147
"Yme1l1",4791.5,4172,2522,2737.5
"4931423N10Rik",1122,1178.66,771,874.41
"Nxph2",0,2,0,0
"Spopl",1190.03,1191.89,879.5,1031.79
"Hnmt",0.86,1.15,2.79,0.3
"Tbpl2",0,0,0,0
"Il1f8",0,0,0,0
"Il1f9",1,0,3,0
"Il1f6",0,0,0,0
"Il1f5",0,0,0,1
"Il1f10",0,0,0,0
"Il1rn",60,36,17,0
"Psd4",5026,6621,4708,5481
"Pax8",4,8,11,18
"Cacna1b",18,16,37,67
"Ehmt1",1500.25,2005.5,1833.5,2004.35
"Arrdc1",1649,2394,1887,2082
"Zmynd19",626.75,544.5,523.25,493.5
"Dph7",472.6,492.72,349.45,328.35
"Mrpl41",900.5,636,523,481
"Pnpla7",7638,6236.39,5363.25,5791.31
"Nsmf",1008,1375,736,860
"Entpd8",0,0,0,0
"Noxa1",35,41,12,7
"Nrarp",101,94,160,149
"Tor4a",1257,1514.5,899,1167
"Nelfb",2147,3058,2440,2741
"Stpg3",0,0,0,0
"Fam166a",3,7,7,4
"Tubb4b",3106.5,2546.25,3249.33,2206.17
"Slc34a3",0,0,0,0
"Rnf224",0,0,0,0
"Cysrt1",0,0,1,0
"Rnf208",13,19,26,25
"Ndor1",981,1664,1288,1606
"Tmem203",150,135,127,133
"Tprn",367,469,379,398
"Ssna1",1049,750,768,851
"Anapc2",1732,2312,1942,1906
"Tmem210",0,0,0,0
"Lrrc26",0,0,0,0
"Grin1",0,1.25,2.5,1
"Grin1os",0,0,0,0
"Man1b1",1558.2,2035.1,1311.2,1616
"Dpp7",307,384,235,270
"Uap1l1",560,642,370,384
"Sapcd2",199,97,278,93
"Entpd2",6,9,2,6
"Npdc1",102,114,107,160
"Fut7",141,155,163,134
"Abca2",4026,6435,5096,7278
"BC029214",557,769.5,568,605
"Clic3",0,0,0,0
"Ptgds",0,0,0,0
"Lcn12",0,3,0,0
"C8g",18,9,7,10
"Fbxw5",1192,1660,1124,1377
"Traf2",1695,1958.05,1292.15,1373.5
"Edf1",1867.5,1690,1526.33,1573.5
"Mamdc4",97,124,89,92
"Phpt1",715,669,540,419
"Gm996",44,55,53,58
"Rabl6",1525,1941,1670,1870
"Ccdc183",1,0,0,1
"Tmem141",30,28,35,21
"Fcna",6,0,20,1
"Gm33749",0,0,0,0
"Lcn8",2,0,0,0
"Lcn5",0,0,0,0
"Lcn6",1,0,0,1
"Lcn10",2,1,1,4
"Obp2a",0,0,0,0
"Bmyc",197,218,130,90
"Obp2b",2.61,2.51,4.97,4.55
"Lcn3",0,0,0,0
"Glt6d1",1.14,3.11,0.81,1.88
"Lcn11",0,0,0,0
"Lcn9",0,0,0,0
"Sohlh1",0,2,2,0
"Kcnt1",0,4,0,2
"Camsap1",805.5,1082.25,754,901.67
"Ubac1",855.5,879,880,806
"Nacc2",33,29,51,25
"C330006A16Rik",243,388,241,207
"Lhx3",1,0,0,0
"Qsox2",275.58,427,264,303
"Ccdc187",1,0,0.67,0.33
"Gpsm1",724.15,1104.93,827,987.88
"Dnlz",501,563,390,440
"Card9",44,51,62,38
"Snapc4",770,1144,843,995
"Sdccag3",1906.83,2869.33,2718.67,2960.83
"Pmpca",1521,1759,1220,1403
"Inpp5e",792,1279,782,969
"Sec16a",2386,4028.67,2165,3263
"Notch1",4746,7407,4759.29,6198
"Egfl7",19,16,50,14
"Agpat2",283,312,250,284
"Fam69b",171,191,117,124
"Gm2240",1,0,0,1
"Lcn4",39,31,89,98
"Gm39773",0,0,0,0
"Gm39774",0,0,0,0
"Abo",1,0,0,0
"Surf6",792,1053,707,882.25
"Med22",974,1171,699,875
"Rpl7a",3080.07,2983.79,3509.24,3329.22
"Surf1",1181,1331,921,1061
"Surf2",833,992,906,1010
"Surf4",4769.1,5584,3576,4073
"Stkld1",21,36,19,30
"Rexo4",1616.5,2001,1420.5,1592
"Adamts13",361.22,529.85,236.44,329.35
"Cacfd1",801,1191,655,858
"Slc2a6",164,202,115,107
"Tmem8c",0,0,0,0
"Adamtsl2",26,53,71,44
"Fam163b",19,46,7,6
"Dbh",9,11,2,3
"Sardh",42.5,42.5,6.5,5
"Vav2",658,936,700,724
"Brd3",633.36,878,759.22,730.11
"Wdr5",1210,1442.27,1289,1296
"Rxra",421,550,365,337
"Col5a1",11.75,8,18,23
"Fcnb",10,0,61,1
"Olfm1",1,5,11,3
"Ppp1r26",6,15,12,17
"1700007K13Rik",0,1,0,0
"Mrps2",548,683,484.33,550
"Gbgt1",0.1,0.33,1.44,1.75
"Ralgds",564,749,311,358
"Cel",0,0,1,0
"Gtf3c5",559,697,693,633
"Gfi1b",8,5,29,0
"Tsc1",1126,1647,918,1104
"Spaca9",1,0,2,0
"Ak8",0,2.25,4.33,2
"Gtf3c4",471,572.5,368,468.5
"Ddx31",431,534,514,494.83
"Barhl1",0,2,1,2
"Cfap77",6228.29,5519.04,4518.97,4673.91
"Ttf1",945.83,1417.33,896.65,1173.83
"Setx",5746,7849,5857.83,8114.33
"Ntng2",1192,1963.25,981,1362
"Med27",670.67,921.62,767.93,917.76
"Rapgef1",7928.18,12065,6861.96,8319.03
"Gm13420",16,27,29,26
"Trub2",721,896.25,790,1062.5
"Gm13547",0,0,0,0
"Coq4",82,86,137.33,137
"Slc27a4",602,859,1069,1475
"Urm1",660,714,576,619
"Cercam",22,34,103,171
"Odf2",1970.5,2345.5,2673.5,2477
"Gle1",1123,1299.33,1141.5,1072.33
"Sptan1",8415.83,10317,8920,11872
"Wdr34",96.5,88,86,36
"Set",4258.43,3710.53,3706.74,2906.26
"Pkn3",77.7,66.27,69.56,55.71
"Zdhhc12",233,303,248,285
"Zer1",2279,3718,2083,2624
